user_id,client_name,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13,answer14,answer15,answer16,answer17,answer18,answer19,answer20,answer21,answer22,answer23,answer24,answer25,log_total_time,device
56006,client4,3,2,2,2,6,1,3,1,3,3,1,1,1,1,4,1,2,1,1,2,3,1,3,3,1,8.03864371,NA
56088,client4,4,1,1,5,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,1,7.294608251,NA
56107,client4,3,1,2,2,0,1,3,1,1,1,1,1,1,1,4,1,2,1,1,3,3,1,1,3,1,7.825903485,NA
56110,client4,4,3,1,1,0,1,3,1,3,1,1,1,1,1,1,1,2,3,3,3,1,1,3,3,1,7.32670177,NA
56162,client4,4,4,2,0,0,1,4,3,3,4,1,3,4,3,3,1,2,1,3,1,4,3,3,1,4,7.828100182,NA
56325,client4,3,1,2,2,1,3,3,1,3,2,1,1,1,1,4,2,2,1,4,2,3,2,2,3,4,9.657946924,NA
56346,client4,3,1,2,2,2,1,2,1,1,4,1,1,1,4,4,1,2,1,4,3,3,1,4,4,1,9.266501494,NA
56514,client4,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,4,1,3,7.727049971,NA
56522,client4,3,1,2,0,0,1,1,2,1,1,1,1,3,1,1,1,2,1,1,3,1,1,2,3,1,7.675215089,NA
56593,client4,3,3,2,0,4,1,4,2,2,2,1,1,2,2,3,2,2,2,2,3,3,1,4,2,2,12.71570015,NA
56624,client4,3,3,2,-7,0,1,3,4,3,4,1,1,3,3,4,1,2,2,3,3,3,2,3,3,2,8.304398406,NA
56629,client4,3,1,2,2,1,1,4,1,1,1,1,1,1,1,4,1,2,1,4,1,3,1,1,3,1,7.639826494,NA
56655,client4,3,1,2,-2,1,1,3,1,1,4,1,1,1,1,4,1,2,1,4,3,3,1,4,4,1,8.1993048,NA
56730,client4,3,1,2,3,2,1,3,2,2,3,1,1,2,1,2,1,2,1,4,3,3,1,3,2,2,7.920036323,NA
56753,client4,3,3,2,0,4,1,2,4,2,4,1,1,3,2,2,2,2,1,3,4,3,1,4,3,2,8.000164368,NA
56754,client4,3,2,2,3,1,1,2,1,2,1,2,1,1,3,2,1,2,2,4,2,2,1,2,1,3,7.308614463,NA
56980,client4,3,4,2,0,1,1,1,1,3,4,1,1,1,1,4,1,2,1,4,3,1,1,4,4,1,8.560940758,NA
57044,client4,4,1,2,0,1,4,1,1,1,4,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,7.29051114,NA
57137,client4,3,1,2,6,0,1,1,1,1,3,1,1,1,2,1,1,2,2,1,3,4,3,1,2,2,7.677713489,NA
57216,client4,3,3,2,3,2,1,3,3,2,3,1,1,2,1,1,1,2,1,3,3,3,1,3,1,1,7.468981199,NA
57248,client4,3,2,2,1,0,1,2,1,1,1,1,1,2,1,1,1,2,1,3,3,2,2,4,3,1,8.06219671,NA
57276,client4,1,1,2,-2,5,1,2,3,1,4,1,1,1,1,1,1,2,1,4,3,1,1,4,1,1,9.559799555,NA
57288,client4,3,1,2,-3,5,4,3,1,3,3,1,2,3,1,4,3,2,1,3,2,4,1,2,2,3,11.31516656,NA
57337,client4,3,1,2,1,0,4,3,2,3,2,1,1,3,2,3,1,2,2,3,3,3,3,2,3,2,7.335142988,NA
57426,client4,3,1,2,4,0,2,3,2,3,2,1,1,1,1,1,1,2,1,1,2,1,1,3,3,1,8.101117894,NA
57497,client4,3,2,2,0,2,1,3,3,3,3,3,1,3,2,3,2,2,3,3,3,3,3,3,3,2,6.897518057,NA
57561,client4,4,3,1,1,1,1,4,4,2,2,1,1,3,2,4,2,2,4,4,3,4,2,3,2,1,7.14692886,NA
