user_id,client,tenure_length,currently_employed,hire_job_category
37779,client11,11861,N,nursing
44052,client11,11522,N,nursing
63815,client11,8917,N,nursing
73280,client11,10488,N,nursing
74410,client11,9979,N,nursing
16871,client11,1463,Y,administrative
77605,client11,10179,N,nursing
96839,client11,8879,N,patient_care
96839,client11,572.5,N,patient_care
49195,client11,10040,N,nursing
64022,client11,1258,N,nursing
41913,client11,198,Y,nursing
65045,client11,648,N,nursing
80004,client11,2525,Y,nursing
85596,client11,270,N,patient_care
108788,client11,6608,N,nursing
52108,client11,8865,N,nursing
65664,client11,8079,N,nursing
65664,client11,661.5,N,nursing
137905,client11,164,N,nursing
50699,client11,236,Y,nursing
48279,client11,896,N,nursing
70412,client11,179,N,nursing
65308,client11,8003,N,nursing
47704,client11,600,Y,nursing
57092,client11,117,Y,nursing
20170,client11,823,N,administrative
98521,client11,580,Y,housekeeping
54867,client11,779,N,nursing
51222,client11,1111,N,administrative
38101,client11,52,N,nursing
87628,client11,1777,N,nursing
50202,client11,720.5,N,nursing
49683,client11,227,N,nursing
44772,client11,140,N,nursing
44772,client11,268,N,nursing
115623,client11,2068,N,nursing
92499,client11,6967,Y,nursing
97291,client11,2183,N,nursing
97291,client11,397,N,nursing
103292,client11,6880,N,administrative
72410,client11,1307,N,nursing
149604,client11,531,N,nursing
78075,client11,2402,N,nursing
150474,client11,5944,N,nursing
13445,client11,4606,Y,administrative
39762,client11,1483,N,nursing
39762,client11,1167,Y,nursing
38475,client11,2805,N,nursing
62295,client11,6526,N,nursing
62523,client11,3914,N,nursing
138346,client11,1221,N,nursing
148090,client11,6400,N,nursing
138021,client11,3537,N,nursing
47563,client11,6323,Y,nursing
103369,client11,2721,N,nursing
103369,client11,292,N,nursing
66936,client11,600,N,nursing
3626,client11,1615,Y,patient_care
101786,client11,1891,N,nursing
105694,client11,5571,Y,nursing
118453,client11,484,N,nursing
113927,client11,1922,N,nursing
135646,client11,3319,N,nursing
135646,client11,794,N,nursing
28226,client11,1814,N,administrative
39100,client11,5332,N,nursing
51037,client11,4213,N,nursing
51037,client11,82,N,nursing
134792,client11,507.5,N,administrative
84487,client11,,N,nursing
55263,client11,443,N,nursing
82768,client11,5801,N,nursing
42455,client11,5464,N,nursing
40612,client11,5800,N,nursing
84200,client11,3968,Y,nursing
65249,client11,24,N,nursing
102291,client11,484,N,nursing
52915,client11,2647,N,nursing
52915,client11,845,N,nursing
67008,client11,3535,N,nursing
99755,client11,4807,N,nursing
88692,client11,4232,N,nursing
17205,client11,4049,N,patient_care
94150,client11,5575,N,patient_care
75371,client11,246,N,nursing
88368,client11,4596,N,nursing
128896,client11,3996,N,nursing
7751,client11,739,N,administrative
26571,client11,1310,N,patient_care
48824,client11,163,N,nursing
54794,client11,2298,N,nursing
83712,client11,570,Y,nursing
39228,client11,4480,Y,nursing
39237,client11,165,N,nursing
78394,client11,2411,N,nursing
64702,client11,272,Y,nursing
42113,client11,5385,N,nursing
133116,client11,30,N,nursing
114856,client11,454,Y,nursing
101561,client11,5311,N,nursing
49692,client11,697,N,nursing
8190,client11,1689,N,patient_care
50037,client11,3884,N,administrative
39411,client11,752,N,nursing
25217,client11,597,N,patient_care
39908,client11,2476,N,nursing
39583,client11,5238,N,nursing
127127,client11,4784,N,nursing
99341,client11,1311.5,N,nursing
50700,client11,484,N,nursing
53492,client11,827.5,Y,nursing
120820,client11,5182,N,nursing
40884,client11,5140,N,patient_care
129772,client11,256,N,nursing
40089,client11,257.5,N,nursing
88761,client11,1730,N,nursing
91017,client11,441,Y,nursing
87519,client11,1605,N,nursing
44428,client11,2350,N,nursing
64198,client11,3706,Y,patient_care
54324,client11,803,N,nursing
83175,client11,4879,N,nursing
50971,client11,4846,N,nursing
49234,client11,4811,N,nursing
41930,client11,1962,N,nursing
8177,client11,2681,N,patient_care
48298,client11,221,N,patient_care
65167,client11,184,N,aide
